"miss_date","miss_group"
"1",1990-01-01,""
"2",2017-04-25,"#6"
"3",2017-02-16,"rectangle "
"4",2017-02-15,"happy valentines day midday groups 2/14/2017"
"5",2017-02-15,"rectangle "
"6",2017-02-15,"6 "
"7",2017-02-15,"happy valentines day morning testing groups 2/14/2017"
"8",2017-02-15,"flanne"
"9",2017-02-12,"there is no testing today morning or midday "
"10",NA,"#6"
"11",2017-02-10,"distrcit 3a"
"12",2017-04-25,"#4"
"13",2017-04-25,"#7"
"14",2017-04-25,"#8"
"15",2017-04-25,"#9"
"16",2017-02-09,"triangle "
"17",2017-02-09,"distrcit 3a"
"18",2017-02-09,"omega "
"19",2017-02-08,"triangle "
"20",2017-02-08,"distrcit 3a"
"21",2017-02-07,"#6"
"22",2017-02-07,"copper 1"
"23",2017-02-07,"#7"
"24",2017-02-07,"#8"
"25",2017-02-07,"#11"
"26",2017-02-07,"drug testing monday 2/6/2017"
"27",2017-02-07,"distrcit 3a"
"28",2017-02-07,"today is mass testing day !!!!  all midday groups report for testing between 10am"
"29",2017-02-06,"today is mass testing day !!! all morning groups must report between the hours of  5:30"
"30",2017-01-05,"there is no testing morning or midday today"
"31",2017-02-04,"there is no testing morning or midday today"
"32",2017-02-03,"#6"
"33",2017-04-24,"#6"
"34",2017-02-03,"#4"
"35",2017-02-03,"#7"
"36",2017-02-02,"#8"
"37",2017-02-01,"#6"
"38",2017-02-01,"#5"
"39",2017-02-01,"#7"
"40",2017-01-31,"#6"
"41",2017-01-31,"#4"
"42",2017-01-31,"#7"
"43",2017-01-31,"#8"
"44",2017-01-31,"#9"
"45",2017-01-31,"midday groups"
"46",2017-01-31,"morning groups"
"47",2017-01-31,"brown 1"
"48",2017-01-31,"black 1"
"49",2017-01-31,"metallic 1"
"50",2017-01-31,"#4"
"51",2017-01-31,"#5"
"52",2017-01-31,"#10"
"53",2017-01-31,"no testing today"
"54",2017-01-31,"no testing today"
"55",2017-01-31,"no testing today"
"56",2017-01-31,"no testing today"
"57",2017-01-27,"#5"
"58",2017-01-27,"#9"
"59",2017-01-27,"#10"
"60",2017-01-26,"distrcit 3a"
"61",2017-04-24,"#4"
"62",2017-04-24,"#5"
"63",2017-04-24,"#7"
"64",2017-04-24,"#10"
"65",2017-01-26,"some elements on this page did not load. refresh your site &amp; try again."
"66",2017-01-19,"distric 3a"
"67",2017-01-18,"distric 3a"
"68",2017-01-18,"distric 3a"
"69",2017-01-17,"distric 3a"
"70",2017-01-17,"there will be no testing for morning or midday groups today "
"71",2017-01-17,"monday january 16th, 2017"
"72",2017-01-17,"monday january 16th, 2017"
"73",2017-01-17,"weekend testing 1/15/2017"
"74",2017-01-17,"distric 3a"
"75",2017-01-17,"there is no testing morning or midday today"
"76",2017-01-17,"weekend testing 1/14/2017"
"77",2017-01-17,"distric 3a"
"78",2017-01-17,"there is no testing morning or midday  today"
"79",2017-01-13,"#5"
"80",2017-01-12,"distric 3a"
"81",2017-01-06,"3a"
"82",2017-01-05,"3a"
"83",2017-04-23,"there is no testing for morning or midday today "
"84",2017-01-05,"3a"
"85",2017-01-04,"3a"
"86",2017-01-04,"3a"
"87",2017-01-02,"there will be no testing for morning or midday today"
"88",2017-01-02,"mass testing sunday 1/1/17"
"89",2017-01-02,"today is a mass testing day!"
"90",2017-01-02,"all groups must report between the hours of 5:30 – 8:30am."
"91",2017-01-02,"if you are required to test, then you are required to be here."
"92",2017-01-02,"doors will close @ 8:30am sharp!"
"93",2016-12-31,"there is no testing morning or midday today"
"94",NA,"3a"
"95",NA,"there will be no testing for morning or midday today !!!"
"96",2014-12-23,"3a"
"97",2016-12-23,"3a"
"98",2017-04-22,"there is no testing for morning or midday groups  today "
"99",2016-12-22,"3a"
"100",2016-12-22,"3a"
"101",2016-12-21,"3a"
"102",2016-12-21,"3a"
"103",2016-12-20,"3a"
"104",2016-12-20,"3a"
"105",2016-12-19,"3a"
"106",2016-12-19,"3a"
"107",2016-12-19,"epsilon"
"108",2016-12-19," "
"109",2016-12-18,"3a"
"110",2016-12-17,"3a"
"111",2016-12-17,"there is no testing morning or midday today"
"112",2017-04-21,"#6"
"113",2016-12-16,"#4"
"114",2016-12-16,"#12"
"115",2016-12-15,"#6"
"116",2016-12-15,"#7"
"117",2016-12-15,"#8"
"118",2016-12-14,"3a"
"119",2016-12-14,"3a"
"120",2016-12-13,"black 1"
"121",2016-12-12,"3a"
"122",2016-12-12,"3a"
"123",2017-04-21,"#4"
"124",2017-04-21,"#7"
"125",2017-04-21,"#8"
"126",2016-12-11,"3a"
"127",2016-12-11,"there is no morning or midday testing today"
"128",2016-12-10,"3a"
"129",2016-12-10,"there is no testing for morning or midday today"
"130",2016-12-09,"3a"
"131",2016-12-09,"3a"
